dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain
1356998400,1356942172,1356990985,22.96,23.35,1017,78,18.92,0,10000.0,1.54,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1357084800,1357028610,1357077402,22.8,22.96,1018,70,17.05,75,10000.0,4.63,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1357171200,1357115049,1357163818,18.19,18.34,1021,87,15.99,100,,5.14,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1357257600,1357201488,1357250233,18.6,18.71,1023,84,15.85,75,,4.12,120,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",,
1357344000,1357287928,1357336646,21.01,21.2,1022,78,17.03,75,10000.0,3.1,110,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1357430400,1357374368,1357423058,22.73,23.2,1019,82,19.5,75,,3.6,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1357516800,1357460810,1357509469,21.51,21.62,1017,73,16.47,0,10000.0,2.1,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1357603200,1357547251,1357595879,25.59,25.46,1015,48,13.78,0,10000.0,2.1,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1357689600,1357633693,1357682287,22.7,23.32,1016,88,20.61,75,10000.0,2.1,40,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1357776000,1357720136,1357768694,21.7,22.09,1017,83,18.69,40,10000.0,4.63,150,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1357862400,1357806578,1357855099,18.7,18.64,1017,77,14.59,75,,7.72,160,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1357948800,1357893021,1357941503,17.7,17.43,1015,73,12.8,75,10000.0,4.12,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1358035200,1357979465,1358027906,18.7,18.92,1018,88,16.67,100,,3.1,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1358121600,1358065909,1358114308,18.7,18.92,1019,88,16.67,40,,2.6,70,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1358208000,1358152352,1358200708,18.7,19.08,1017,94,17.71,75,,2.1,250,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",10.8,{'1h': 0.12}
1358294400,1358238797,1358287106,20.7,20.99,1013,83,17.71,75,10000.0,3.6,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1358380800,1358325241,1358373504,20.7,21.12,1012,88,18.64,20,10000.0,3.6,170,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.18}
1358467200,1358411685,1358459899,22.7,22.83,1014,69,16.72,40,10000.0,2.1,190,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1358553600,1358498130,1358546294,21.7,22.09,1014,83,18.69,75,,3.6,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1358640000,1358584574,1358632687,20.7,20.99,1016,83,17.71,75,10000.0,6.2,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1358726400,1358671019,1358719079,19.7,19.63,1018,73,14.73,75,10000.0,5.14,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1358812800,1358757463,1358805469,18.7,18.64,1021,77,14.59,75,10000.0,5.14,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.13}
1358899200,1358843907,1358891858,19.7,19.76,1020,78,15.76,75,10000.0,3.6,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1358985600,1358930352,1358978246,20.7,20.99,1017,83,17.71,75,,2.6,130,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1359072000,1359016796,1359064632,23.83,24.31,1013,78,19.76,0,10000.0,2.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1359158400,1359103240,1359151017,22.74,23.39,1012,89,20.83,75,,1.54,230,"[{'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11n'}]",,
1359244800,1359189684,1359237401,20.65,20.96,1016,84,17.85,75,,3.6,130,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1359331200,1359276127,1359323783,19.77,19.94,1019,82,16.61,75,10000.0,5.65,0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",8.74,
1359417600,1359362571,1359410164,18.7,18.64,1020,77,14.59,100,10000.0,4.63,110,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,
1359504000,1359449014,1359496544,20.7,20.86,1019,78,16.73,100,,4.12,140,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1359590400,1359535457,1359582922,21.7,21.96,1018,78,17.7,75,,5.14,130,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1359676800,1359621899,1359669299,22.7,23.19,1016,83,19.66,100,,3.1,130,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1359763200,1359708342,1359755675,21.7,22.38,1017,94,20.69,75,,2.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1359849600,1359794784,1359842049,20.7,21.12,1017,88,18.64,0,10000.0,2.6,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1359936000,1359881225,1359928422,21.7,22.22,1012,88,19.63,40,10000.0,2.1,290,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}, {'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",,{'1h': 1.84}
