dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain
1416009600,1415952850,1416000482,14.88,14.77,1018,90,13.26,100,6000.0,4.6,150,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.14}
1416096000,1416039230,1416086923,16.51,16.28,1020,79,12.86,75,10000.0,4.63,140,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1416182400,1416125611,1416173364,15.88,15.33,1021,69,10.21,40,10000.0,5.7,190,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1416268800,1416211994,1416259806,15.7,15.21,1020,72,10.67,75,,5.14,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1416355200,1416298378,1416346248,17.37,17.2,1018,78,13.5,40,,4.6,150,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",
1416441600,1416384763,1416432690,21.14,20.9,1016,61,13.33,0,10000.0,3.1,130,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1416528000,1416471150,1416519132,21.51,21.52,1018,69,15.59,0,,2.6,110,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1416614400,1416557538,1416605575,23.88,24.02,1016,65,16.91,0,10000.0,3.1,110,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1416700800,1416643928,1416692017,23.51,23.54,1015,62,15.81,0,10000.0,2.1,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1416787200,1416730319,1416778460,18.51,18.77,1018,90,16.84,100,,6.7,150,"[{'id': 301, 'main': 'Drizzle', 'description': 'drizzle', 'icon': '09n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1416873600,1416816711,1416864903,21.14,21.45,1017,82,17.95,100,,3.1,180,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1416960000,1416903105,1416951345,21.88,22.29,1013,83,18.86,0,,3.6,100,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.26}
