dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust
1419984000,1419927716,1419976557,24.52,24.62,1015,61,16.51,0,10000.0,3.6,320,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.44},
1420070400,1420014152,1420062976,25.27,25.39,1016,59,16.69,0,10000.0,3.1,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1420156800,1420100590,1420149394,25.1,25.36,1016,65,18.06,0,10000.0,2.6,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1420243200,1420187029,1420235810,24.06,24.48,1018,75,19.35,0,10000.0,5.7,170,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1420329600,1420273468,1420322226,22.51,22.96,1019,82,19.28,75,9000.0,2.6,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1420416000,1420359907,1420408640,21.51,21.81,1019,80,17.92,0,10000.0,3.6,190,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1420502400,1420446348,1420495052,21.77,22.09,1020,80,18.17,75,9999.0,4.1,60,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1420588800,1420532788,1420581464,22.75,22.86,1020,68,16.54,0,10000.0,3.6,110,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1420675200,1420619230,1420667874,21.59,21.84,1019,78,17.59,75,7000.0,4.6,280,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}, {'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 2.94},
1420761600,1420705671,1420754283,23.99,24.61,1018,83,20.92,0,10000.0,2.6,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1420848000,1420792114,1420840690,27.3,28.64,1016,62,19.38,20,9999.0,3.1,160,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1420934400,1420878556,1420927097,23.74,24.28,1018,81,20.29,0,10000.0,3.1,150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1421020800,1420964999,1421013501,25.02,25.61,1018,78,20.92,0,4000.0,3.1,50,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1421107200,1421051443,1421099905,23.83,24.04,1017,68,17.57,0,10000.0,1.0,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1421193600,1421137886,1421186307,24.68,24.59,1018,53,14.47,0,10000.0,1.5,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1421280000,1421224330,1421272708,24.91,25.05,1019,61,16.88,0,9000.0,2.1,240,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1421366400,1421310774,1421359107,24.33,24.78,1019,75,19.62,75,5000.0,4.1,90,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1421452800,1421397218,1421445505,24.31,24.89,1018,80,20.64,0,5000.0,3.6,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1421539200,1421483662,1421531902,27.56,28.64,1016,58,18.56,0,10000.0,3.1,160,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1421625600,1421570107,1421618297,25.61,26.21,1016,76,21.06,75,8000.0,4.6,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1421712000,1421656551,1421704691,25.29,25.62,1018,67,18.72,75,8000.0,5.7,200,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1421798400,1421742996,1421791083,24.39,24.84,1015,75,19.67,0,8000.0,4.1,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1421884800,1421829440,1421877474,22.38,22.76,1018,80,18.76,75,8000.0,5.7,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1421971200,1421915885,1421963864,20.4,20.51,1019,77,16.24,75,9999.0,5.1,130,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.28},
1422057600,1422002329,1422050252,20.29,20.54,1018,83,17.31,75,9999.0,6.2,190,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1422144000,1422088773,1422136639,21.72,22.04,1017,80,18.12,75,7000.0,4.6,80,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1422230400,1422175217,1422223025,23.6,23.74,1016,66,16.88,40,9999.0,4.1,100,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1422316800,1422261661,1422309409,22.43,22.69,1017,75,17.78,40,9999.0,4.1,340,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1422403200,1422348105,1422395792,23.34,23.82,1018,80,19.7,75,8000.0,2.6,110,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",,
1422489600,1422434549,1422482174,25.89,26.18,1017,63,18.31,0,10000.0,2.1,310,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.34},
1422576000,1422520992,1422568554,25.97,25.97,1016,67,19.37,0,10000.0,5.7,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1422662400,1422607435,1422654933,21.25,21.65,1020,85,18.63,100,5000.0,6.7,160,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.39},
