dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,weather,rain,visibility,wind_gust
1518566400,1518512006,1518558499,18.74,18.81,1022,82,15.61,100,3.6,120,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.34},,
1518652800,1518598442,1518644860,18.71,18.91,1023,87,16.5,75,4.63,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.2},,
1518739200,1518684879,1518731220,19.69,19.86,1024,82,16.53,75,5.14,170,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,10000.0,
1518825600,1518771314,1518817578,18.71,18.65,1023,77,14.6,100,4.12,150,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,
1518912000,1518857749,1518903936,19.74,19.91,1018,82,16.58,75,3.6,130,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1518998400,1518944184,1518990293,20.71,20.85,1014,77,16.54,75,1.1,54,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1519084800,1519030618,1519076648,24.64,24.86,1013,65,17.63,0,2.6,340,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.12},10000.0,
1519171200,1519117051,1519163003,23.64,24.1,1010,78,19.58,0,3.6,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1519257600,1519203484,1519249357,24.67,24.97,1011,68,18.37,0,2.6,160,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1519344000,1519289917,1519335710,21.69,22.08,1014,83,18.68,100,5.14,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.14},,
1519430400,1519376349,1519422062,20.67,20.59,1018,69,14.79,100,5.14,160,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,
1519516800,1519462780,1519508414,20.67,20.8,1019,77,16.5,75,4.12,120,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1519603200,1519549211,1519594764,20.73,20.76,1018,73,15.72,75,4.63,130,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1519689600,1519635642,1519681114,20.67,21.22,1017,93,19.5,75,2.6,90,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.02},10000.0,
1519776000,1519722072,1519767463,21.78,22.13,1015,81,18.38,100,3.6,140,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,7000.0,
1519862400,1519808501,1519853811,22.75,22.96,1014,72,17.44,20,3.1,140,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,10000.0,
1519948800,1519894930,1519940159,22.71,23.07,1018,78,18.68,40,3.1,110,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,
1520035200,1519981359,1520026506,21.74,22.27,1017,88,19.67,75,1.54,100,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.36},,
1520121600,1520067787,1520112852,21.77,22.01,1014,77,17.56,40,2.6,150,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0,
1520208000,1520154215,1520199198,22.56,23.04,1014,83,19.53,20,2.6,140,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,10000.0,
1520294400,1520240642,1520285543,21.78,22.29,1012,87,19.52,0,2.6,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1520380800,1520327069,1520371888,22.69,23.18,1014,83,19.65,75,3.6,100,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,,
1520467200,1520413496,1520458232,22.67,23.16,1014,83,19.64,75,4.12,170,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1520553600,1520499922,1520544575,20.69,20.96,1016,82,17.51,75,5.7,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,
1520640000,1520586348,1520630918,20.71,20.85,1016,77,16.54,0,3.1,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1520726400,1520672773,1520717261,21.67,21.93,1014,78,17.67,75,2.5,107,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1520812800,1520759198,1520803603,23.77,24.08,1012,72,18.42,0,2.6,180,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1520899200,1520845623,1520889945,22.85,23.46,1009,87,20.57,75,4.63,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1520985600,1520932047,1520976287,22.73,23.23,1016,83,19.69,0,2.1,100,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1521072000,1521018471,1521062628,20.66,20.95,1019,83,17.67,75,6.2,170,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",,,
1521158400,1521104895,1521148969,25.75,26.05,1016,64,18.43,40,3.6,310,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0,
1521244800,1521191319,1521235310,23.67,24.02,1016,74,18.76,75,1.54,50,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1521331200,1521277742,1521321650,21.77,22.01,1015,77,17.56,20,3.6,90,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,10000.0,
1521417600,1521364166,1521407991,23.69,24.15,1013,78,19.63,0,2.1,150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1521504000,1521450589,1521494331,22.77,23.35,1013,86,20.31,0,1.54,220,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1521590400,1521537011,1521580671,20.7,21.1,1015,87,18.46,0,2.6,10,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'1h': 5.64},10000.0,
1521676800,1521623434,1521667011,21.35,21.58,1013,78,17.36,100,3.6,150,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000.0,
1521763200,1521709857,1521753351,21.64,21.9,1017,78,17.64,100,4.12,100,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,10000.0,
1521849600,1521796279,1521839691,22.69,23.05,1017,78,18.66,0,3.6,170,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,
1521936000,1521882701,1521926031,24.71,25.12,1016,72,19.32,0,1.9,119,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1522022400,1521969124,1522012371,24.77,25.08,1016,68,18.47,0,2.6,160,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
1522108800,1522055546,1522098711,21.67,21.93,1020,78,17.67,75,3.1,190,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0,
1522195200,1522141968,1522185051,19.74,20.07,1020,88,17.7,75,1.54,280,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.1},,
1522281600,1522228390,1522271391,19.73,20.16,1020,92,18.39,20,2.1,230,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.42},,
1522368000,1522314812,1522357731,21.67,22.06,1018,83,18.66,75,3.1,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.11},,
1522454400,1522401234,1522444072,20.71,21.11,1017,87,18.47,0,1.03,180,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,10000.0,
1522540800,1522487656,1522530412,20.15,20.49,1013,87,17.92,40,3.1,130,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.18},10000.0,
1522627200,1522574078,1522616753,24.63,24.87,1013,66,17.86,75,4.12,330,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.77},10000.0,
1522713600,1522660500,1522703094,21.77,22.01,1013,77,17.56,0,4.12,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,10000.0,
