dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,rain,uvi
1672531200,1672474950,1672523775,19.55,20.04,1016,95,18.73,0,10000,2.1,90,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1672617600,1672561388,1672610193,20.75,21.31,1015,93,19.58,40,10000,4.12,160,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1672704000,1672647826,1672696609,22.75,22.86,1011,68,16.54,0,10000,3.6,60,,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1672790400,1672734265,1672783025,20.55,21.25,1012,99,20.39,75,8000,3.1,320,0.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.02},
1672876800,1672820705,1672869439,16.7,17.04,1012,100,16.7,100,6000,4.63,170,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.53},
1672963200,1672907145,1672955852,15.95,16.19,1015,99,15.79,100,6000,6.2,160,0.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.18},
1673049600,1672993586,1673042263,14.8,14.95,1019,100,14.8,100,2000,4.63,150,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 301, 'main': 'Drizzle', 'description': 'drizzle', 'icon': '09n'}]",,
1673136000,1673080027,1673128673,16.64,16.81,1019,94,15.67,75,7000,4.63,120,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1673222400,1673166469,1673215082,18.55,18.92,1017,94,17.57,75,6000,5.14,160,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1673308800,1673252911,1673301490,19.08,19.47,1015,93,17.92,100,9000,3.6,140,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1673395200,1673339354,1673387896,18.95,19.49,1015,99,18.79,75,7000,1.54,160,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1673481600,1673425797,1673474301,22.7,23.14,1012,81,19.27,0,10000,1.54,0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1673568000,1673512240,1673560705,22.7,23.32,1011,88,20.61,40,7000,2.6,140,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1673654400,1673598684,1673647107,23.5,23.97,1012,79,19.65,75,10000,3.1,350,0.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1673740800,1673685127,1673733508,24.09,24.64,1013,80,20.42,0,10000,2.1,330,0.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1673827200,1673771571,1673819907,21.95,22.63,1014,93,20.77,0,10000,2.1,110,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1673913600,1673858016,1673906305,22.8,23.67,1015,97,22.3,75,10000,4.12,190,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.76},
1674000000,1673944460,1673992702,22.91,23.37,1016,81,19.48,40,10000,4.12,150,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1674086400,1674030904,1674079097,20.75,21.34,1017,94,19.75,0,10000,4.02,177,4.47,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1674172800,1674117349,1674165491,21.75,22.23,1015,86,19.31,40,10000,3.1,130,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1674259200,1674203793,1674251884,19.7,20.34,1012,100,19.7,40,6000,2.1,130,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1674345600,1674290238,1674338275,21.97,22.47,1011,86,19.52,0,10000,2.1,100,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1674432000,1674376682,1674424664,25.5,25.91,1009,69,19.4,40,10000,4.12,220,,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1674518400,1674463126,1674511053,22.45,22.97,1012,85,19.8,40,8000,3.1,80,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1674604800,1674549571,1674597440,21.7,22.2,1011,87,19.44,40,10000,3.6,120,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1674691200,1674636015,1674683826,21.7,22.07,1012,82,18.49,40,10000,6.2,140,0.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1674777600,1674722459,1674770210,21.45,20.72,1013,41,7.66,0,10000,4.12,130,,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",,
1674864000,1674808903,1674856593,21.7,22.09,1016,83,18.69,20,10000,5.7,100,0.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1674950400,1674895346,1674942975,20.7,21.12,1017,88,18.64,75,6000,2.1,360,0.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 3.05},
1675036800,1674981789,1675029355,21.7,22.38,1014,94,20.69,0,10000,3.1,40,0.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1675123200,1675068232,1675115734,21.75,22.38,1012,92,20.39,40,10000,4.12,100,,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
