Date,Average Temperature,Minimum Temperature,Maximum Temperature,Total Precipitation,wdir,Average Wind Speed,Sea-Level Air Pressure
2021-01-02,22.9,19.1,29.0,7.5,80.0,8.5,1014.7
2021-01-03,21.8,18.0,28.0,25.9,77.0,9.2,1014.0
2021-01-04,21.4,17.9,27.0,7.9,70.0,8.8,1015.8
2021-01-05,23.8,18.5,32.0,2.7,82.0,7.9,1016.7
2021-01-06,23.5,19.3,32.0,2.8,100.0,8.6,1015.8
2021-01-07,24.8,20.4,33.0,15.4,177.0,7.6,1015.1
2021-01-08,24.5,20.0,32.0,2.3,196.0,6.5,1014.4
2021-01-09,23.4,20.0,31.0,7.7,95.0,5.7,1013.7
2021-01-10,23.6,19.8,31.0,4.9,74.0,9.0,1014.7
2021-01-11,24.7,20.1,33.0,2.6,75.0,8.5,1014.9
2021-01-12,24.7,20.3,33.0,3.9,79.0,9.5,1015.4
2021-01-13,24.3,20.2,31.0,0.4,95.0,12.5,1015.5
2021-01-14,23.5,18.4,31.0,0.2,91.0,13.9,1015.5
2021-01-15,22.5,17.8,30.0,1.9,91.0,14.3,1015.8
2021-01-16,22.4,18.8,27.0,1.0,88.0,13.2,1016.1
2021-01-17,23.1,17.8,29.0,0.1,84.0,15.1,1015.7
2021-01-18,23.5,18.5,31.0,0.0,84.0,10.2,1015.7
2021-01-19,23.6,17.3,31.0,0.0,101.0,11.8,1016.0
2021-01-20,23.9,17.7,31.0,0.0,97.0,14.2,1016.5
2021-01-21,23.2,17.4,31.0,0.0,97.0,15.6,1017.5
2021-01-22,23.4,17.6,29.0,0.0,98.0,15.9,1020.1
2021-01-23,22.7,17.9,29.0,0.0,91.0,16.0,1019.8
2021-01-24,23.3,17.1,30.0,0.5,100.0,12.3,1017.6
2021-01-25,24.0,17.6,30.0,0.1,88.0,14.2,1016.4
2021-01-26,24.5,18.8,31.0,0.0,84.0,15.4,1016.2
2021-01-27,24.2,17.9,32.0,0.0,82.0,14.6,1016.4
2021-01-28,25.1,18.2,32.0,0.0,85.0,10.8,1015.2
2021-01-29,25.3,18.7,33.0,0.0,85.0,13.7,1015.6
2021-01-30,26.0,19.7,32.0,0.1,91.0,14.2,1017.0
2021-01-31,25.2,18.6,32.0,0.0,90.0,13.7,1016.2
2021-02-01,24.7,19.4,30.0,0.0,90.0,13.5,1015.2
2021-02-02,25.4,20.6,32.0,0.8,86.0,10.2,1015.9
2021-02-03,25.6,19.6,32.0,0.2,91.0,12.6,1016.2
2021-02-04,26.0,19.6,33.0,0.6,47.0,10.0,1014.6
2021-02-05,22.5,20.9,27.0,26.8,14.0,6.2,1011.7
2021-02-06,21.3,19.6,24.0,65.6,2.0,9.8,1013.0
2021-02-07,19.7,18.0,23.0,26.3,87.0,8.6,1013.4
2021-02-08,20.4,17.0,25.4,4.4,95.0,9.1,1013.7
2021-02-09,21.0,16.9,28.0,3.1,83.0,11.0,1015.0
