dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain
1041379200,1041322956,1041371778,24.65,24.74,1011,60,16.37,75,10000.0,3.1,20,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",
1041465600,1041409393,1041458195,26.07,26.07,1014,55,16.33,40,8000.0,0.0,0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1041552000,1041495832,1041544612,21.9,22.23,1015,80,18.3,75,7000.0,0.0,0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1041638400,1041582271,1041631027,22.49,22.99,1015,84,19.65,100,4000.0,2.1,30,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.63}
1041724800,1041668711,1041717441,22.56,23.12,1011,86,20.1,100,10000.0,2.6,340,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.82}
1041811200,1041755151,1041803854,22.27,22.75,1011,84,19.44,40,10000.0,1.5,350,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.18}
1041897600,1041841592,1041890265,20.42,19.59,1015,41,6.74,73,9000.0,2.6,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",
1041984000,1041928033,1041976675,21.61,21.34,1017,58,13.0,0,10000.0,3.1,150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",
1042070400,1042014475,1042063084,22.03,22.3,1019,77,17.81,0,4000.0,3.1,170,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1042156800,1042100917,1042149491,26.54,26.54,1018,38,11.08,0,7000.0,0.0,0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1042243200,1042187360,1042235897,21.93,22.5,1019,89,20.03,100,7000.0,4.6,180,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.31}
1042329600,1042273803,1042322302,22.0,22.34,1016,80,18.39,100,10000.0,4.1,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1042416000,1042360246,1042408705,19.49,19.74,1017,86,17.09,100,3000.0,5.1,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1042502400,1042446690,1042495107,19.52,19.8,1016,87,17.3,100,4000.0,4.6,190,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",
1042588800,1042533134,1042581508,19.4,19.67,1018,87,17.18,100,8000.0,5.1,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1042675200,1042619578,1042667907,21.38,21.74,1018,83,18.37,75,10000.0,3.1,160,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1042761600,1042706022,1042754305,20.89,21.31,1017,87,18.65,75,5000.0,2.1,170,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",
1042848000,1042792466,1042840702,20.79,20.94,1013,77,16.61,20,10000.0,6.2,60,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1042934400,1042878910,1042927097,22.03,22.35,1016,79,18.22,75,10000.0,1.5,140,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.15}
1043020800,1042965355,1043013491,22.75,22.99,1016,73,17.66,75,7000.0,3.6,130,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1043107200,1043051799,1043099883,23.96,24.24,1012,70,18.16,40,10000.0,3.1,330,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",
1043193600,1043138244,1043186274,21.21,21.84,1014,94,20.21,100,5000.0,6.2,90,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 0.27}
1043280000,1043224688,1043272664,22.06,22.49,1015,83,19.04,75,10000.0,3.1,360,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.83}
