dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust
1483228800,1483172571,1483221385,26.67,27.06,1015,49,15.08,0,10000.0,1.54,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1483315200,1483259009,1483307802,24.86,25.2,1012,69,18.79,0,10000.0,3.6,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1483401600,1483345447,1483394218,22.67,23.16,1016,83,19.64,75,,2.6,90,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}, {'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",{'1h': 5.26},
1483488000,1483431887,1483480632,20.36,20.59,1013,82,17.19,0,10000.0,2.4,77,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,7.9
1483574400,1483518327,1483567046,26.66,26.66,1015,58,17.72,0,10000.0,3.1,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1483660800,1483604767,1483653458,24.69,24.89,1016,64,17.43,0,10000.0,2.6,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1483747200,1483691208,1483739869,22.69,23.18,1018,83,19.65,75,10000.0,3.1,180,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.59},
1483833600,1483777650,1483826278,22.66,23.17,1017,84,19.82,75,10000.0,3.1,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1483920000,1483864092,1483912687,22.86,23.37,1011,83,19.82,0,10000.0,1.54,80,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.12},
1484006400,1483950534,1483999094,21.66,22.07,1012,84,18.84,40,,3.6,310,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1484092800,1484036977,1484085499,25.74,26.15,1013,68,19.39,75,10000.0,3.6,160,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1484179200,1484123420,1484171903,21.71,22.21,1014,87,19.45,75,,3.1,110,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1484265600,1484209864,1484258306,21.64,21.92,1017,79,17.84,75,,6.2,160,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.22},
1484352000,1484296307,1484344708,22.65,22.96,1012,76,18.21,75,10000.0,3.6,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1484438400,1484382751,1484431108,23.65,23.87,1010,69,17.63,40,10000.0,3.6,140,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,
1484524800,1484469195,1484517506,22.99,23.36,1013,77,18.74,75,9000.0,3.6,160,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1484611200,1484555640,1484603904,20.73,21.26,1013,92,19.38,75,,3.6,280,"[{'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11n'}]",,
1484697600,1484642084,1484690300,22.85,23.15,1009,75,18.19,0,,4.12,330,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.26},
1484784000,1484728528,1484776694,21.66,22.05,1016,83,18.65,75,,2.1,320,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.11},
1484870400,1484814973,1484863087,19.69,20.01,1019,88,17.65,75,,1.7,96,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.19},
1484956800,1484901417,1484949479,19.71,20.16,1020,93,18.55,75,,2.1,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1485043200,1484987862,1485035869,18.15,18.34,1017,89,16.31,100,,2.6,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.84},
1485129600,1485074306,1485122259,19.73,20.06,1017,88,17.69,75,,1.8,77,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,
1485216000,1485160750,1485208646,21.36,21.77,1014,85,18.74,0,10000.0,2.1,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1485302400,1485247195,1485295033,22.8,23.12,1015,76,18.35,0,10000.0,4.1,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1485388800,1485333639,1485381418,24.36,24.57,1012,66,17.6,20,10000.0,4.12,320,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1485475200,1485420083,1485467801,21.94,22.36,1016,83,18.92,40,,2.6,330,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.7},
1485561600,1485506526,1485554183,21.67,22.06,1020,83,18.66,75,,3.6,160,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1485648000,1485592970,1485640564,22.85,23.25,1018,79,19.02,100,10000.0,4.63,160,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.23},
1485734400,1485679413,1485726944,23.35,23.59,1018,71,17.8,75,,3.8,114,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,6.4
1485820800,1485765856,1485813322,21.66,22.05,1020,83,18.65,20,,4.12,150,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,
1485907200,1485852298,1485899699,19.73,19.9,1018,82,16.57,75,10000.0,4.12,260,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1485993600,1485938740,1485986075,19.71,20.16,1014,93,18.55,75,,2.1,80,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 1.55},
1486080000,1486025182,1486072450,20.73,21.1,1014,86,18.3,0,10000.0,3.1,180,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,
1486166400,1486111624,1486158823,20.66,20.92,1013,82,17.48,0,,2.1,310,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.28},
1486252800,1486198065,1486245195,21.69,22.08,1014,83,18.68,0,10000.0,2.6,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1486339200,1486284506,1486331566,25.25,25.74,1010,73,20.06,20,10000.0,2.6,150,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",,
1486425600,1486370946,1486417935,20.86,21.27,1010,87,18.62,0,,1.54,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1486512000,1486457386,1486504303,21.77,22.25,1015,86,19.32,75,10000.0,5.14,130,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.27},
1486598400,1486543825,1486590671,21.35,21.37,1015,70,15.66,75,10000.0,6.2,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.1},
1486684800,1486630264,1486677037,20.74,20.85,1016,76,16.36,75,10000.0,4.12,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1486771200,1486716703,1486763401,22.71,23.05,1016,77,18.47,100,,4.63,150,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,
1486857600,1486803141,1486849765,23.78,24.09,1013,72,18.43,0,10000.0,3.6,100,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1486944000,1486889578,1486936128,25.69,25.99,1012,64,18.37,0,10000.0,4.12,150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1487030400,1486976015,1487022489,25.75,26.05,1015,64,18.43,0,10000.0,4.6,110,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1487116800,1487062452,1487108850,25.75,25.95,1020,60,17.4,0,10000.0,2.6,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1487203200,1487148888,1487195209,23.82,24.03,1021,68,17.56,0,10000.0,3.6,160,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1487289600,1487235323,1487281568,24.76,24.75,1017,56,15.4,0,10000.0,3.6,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1487376000,1487321758,1487367925,24.36,24.1,1016,48,12.65,20,9999.0,1.5,94,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,
1487462400,1487408193,1487454281,25.78,25.48,1018,41,11.54,0,10000.0,4.1,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1487548800,1487494627,1487540637,23.73,23.67,1017,58,14.98,0,10000.0,3.1,150,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,
1487635200,1487581060,1487626992,22.75,22.93,1020,71,17.22,75,8000.0,5.1,130,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,
1487721600,1487667493,1487713345,22.65,22.88,1016,73,17.57,20,10000.0,3.6,140,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,
