dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,weather,visibility,rain,wind_gust
1545177600,1545120941,1545169841,24.36,25.02,1015,83,21.29,100,5.7,180,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,,
1545264000,1545207366,1545256273,23.76,24.15,1013,75,19.07,0,2.6,120,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000.0,,
1545350400,1545293793,1545342704,28.7,29.39,1013,51,17.57,0,2.1,160,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000.0,,
1545436800,1545380221,1545429134,25.8,26.08,1014,63,18.23,20,5.7,240,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}]",10000.0,,
1545523200,1545466649,1545515563,25.33,25.41,1012,57,16.2,0,2.1,50,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,,
1545609600,1545553079,1545601991,21.67,22.19,1015,88,19.6,100,1.54,130,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10n'}]",,{'1h': 5.33},
1545696000,1545639510,1545688418,19.71,19.88,1016,82,16.55,75,4.63,90,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11n'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000.0,{'1h': 0.13},
1545782400,1545725942,1545774843,19.67,19.86,1017,83,16.7,100,4.12,100,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,{'1h': 0.25},
1545868800,1545812375,1545861268,20.71,20.85,1015,77,16.54,75,4.12,130,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000.0,,
1545955200,1545898808,1545947692,21.7,21.73,1014,69,15.77,75,4.12,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000.0,,
1546041600,1545985243,1546034114,21.69,21.95,1013,78,17.69,75,3.6,70,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000.0,,
1546128000,1546071678,1546120536,22.35,22.49,1011,71,16.84,20,4.12,130,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000.0,,
1546214400,1546158114,1546206956,22.73,22.94,1014,72,17.42,0,3.6,100,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000.0,,
1546300800,1546244551,1546293375,22.71,22.92,1015,72,17.41,40,4.63,120,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000.0,,
1546387200,1546330989,1546379793,22.75,23.33,1016,86,20.29,75,2.6,130,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,
1546473600,1546417427,1546466210,24.75,25.29,1016,77,20.45,20,3.1,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000.0,,
1546560000,1546503867,1546552625,22.64,23.13,1016,83,19.61,75,7.2,340,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",,{'1h': 1.52},
1546646400,1546590306,1546639039,22.59,23.07,1016,83,19.56,75,2.2,354,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",10000.0,{'1h': 1.97},5.3
1546732800,1546676746,1546725452,22.35,22.73,1014,80,18.73,100,3.6,150,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000.0,{'1h': 0.16},
1546819200,1546763187,1546811863,21.71,22.23,1016,88,19.64,0,0.6,96,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000.0,,
1546905600,1546849629,1546898274,28.62,28.97,1016,48,16.54,0,2.3,7,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000.0,,6.1
1546992000,1546936070,1546984683,22.77,22.98,1018,72,17.46,0,2.6,180,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000.0,,
