year;;month;;H(h)_m;;Kd;;T2m
2005;;Jan;;135.96;;0.55;;21.9
2005;;Feb;;162.91;;0.45;;20.8
2005;;Mar;;138.82;;0.52;;21.3
2005;;Apr;;133.84;;0.4;;20.7
2005;;May;;117.79;;0.38;;18.6
2005;;Jun;;108.43;;0.33;;17.6
2005;;Jul;;110.18;;0.36;;15.8
2005;;Aug;;144.63;;0.34;;18.6
2005;;Sep;;100.48;;0.62;;17.5
2005;;Oct;;125.18;;0.58;;20.6
2005;;Nov;;150.95;;0.51;;19.6
2005;;Dec;;169.24;;0.5;;19.8
2006;;Jan;;170.36;;0.48;;22.7
2006;;Feb;;141.93;;0.52;;22.1
2006;;Mar;;156.82;;0.46;;21.6
2006;;Apr;;140.86;;0.42;;18.9
2006;;May;;108.56;;0.43;;15.8
2006;;Jun;;105.63;;0.38;;16.5
2006;;Jul;;117.66;;0.28;;17.2
2006;;Aug;;132.95;;0.37;;17.8
2006;;Sep;;133.41;;0.47;;17.6
2006;;Oct;;148.16;;0.51;;19.1
2006;;Nov;;154.66;;0.55;;19.8
2006;;Dec;;165.26;;0.57;;21.4
2007;;Jan;;154.13;;0.59;;21.4
2007;;Feb;;172.1;;0.4;;22.0
2007;;Mar;;181.82;;0.34;;22.4
2007;;Apr;;131.78;;0.43;;20.5
2007;;May;;105.5;;0.42;;16.7
2007;;Jun;;114.48;;0.3;;16.9
2007;;Jul;;97.23;;0.38;;15.4
2007;;Aug;;136.43;;0.34;;16.9
2007;;Sep;;148.9;;0.39;;19.8
2007;;Oct;;160.75;;0.42;;21.1
2007;;Nov;;147.72;;0.52;;19.3
2007;;Dec;;169.16;;0.5;;21.6
2008;;Jan;;137.91;;0.56;;20.7
2008;;Feb;;157.91;;0.48;;21.4
2008;;Mar;;140.51;;0.46;;20.4
2008;;Apr;;118.73;;0.47;;19.4
2008;;May;;98.54;;0.37;;15.8
2008;;Jun;;89.93;;0.43;;16.2
2008;;Jul;;133.81;;0.26;;16.3
2008;;Aug;;117.44;;0.4;;17.6
2008;;Sep;;124.92;;0.5;;17.2
2008;;Oct;;141.28;;0.52;;19.7
2008;;Nov;;154.25;;0.55;;19.2
2008;;Dec;;171.86;;0.52;;19.9
2009;;Jan;;129.81;;0.61;;21.2
2009;;Feb;;154.94;;0.44;;22.3
2009;;Mar;;157.65;;0.48;;21.4
2009;;Apr;;115.64;;0.49;;18.9
2009;;May;;117.37;;0.39;;17.8
2009;;Jun;;97.63;;0.38;;14.5
2009;;Jul;;71.61;;0.5;;15.8
2009;;Aug;;114.28;;0.41;;17.0
2009;;Sep;;94.31;;0.57;;18.7
2009;;Oct;;131.43;;0.54;;19.2
2009;;Nov;;160.12;;0.53;;22.6
2009;;Dec;;157.52;;0.56;;21.2
2010;;Jan;;155.7;;0.55;;22.7
2010;;Feb;;166.47;;0.38;;23.3
2010;;Mar;;154.78;;0.43;;21.7
2010;;Apr;;123.61;;0.47;;19.0
2010;;May;;110.2;;0.44;;17.1
2010;;Jun;;108.4;;0.33;;15.4
2010;;Jul;;110.47;;0.33;;17.1
2010;;Aug;;130.18;;0.35;;16.3
2010;;Sep;;122.54;;0.49;;19.1
2010;;Oct;;143.6;;0.48;;17.7
2010;;Nov;;152.81;;0.48;;19.8
2010;;Dec;;161.79;;0.56;;21.3
2011;;Jan;;164.71;;0.5;;22.6
2011;;Feb;;152.25;;0.44;;22.9
2011;;Mar;;117.77;;0.66;;20.3
2011;;Apr;;127.63;;0.41;;19.9
2011;;May;;107.1;;0.45;;16.1
2011;;Jun;;107.35;;0.34;;14.6
2011;;Jul;;103.45;;0.38;;16.4
2011;;Aug;;112.91;;0.4;;17.2
2011;;Sep;;151.14;;0.4;;17.9
2011;;Oct;;147.34;;0.49;;19.1
2011;;Nov;;176.82;;0.47;;18.7
2011;;Dec;;168.19;;0.5;;20.7
2012;;Jan;;156.87;;0.54;;20.4
2012;;Feb;;168.34;;0.45;;22.9
2012;;Mar;;171.4;;0.38;;20.8
2012;;Apr;;125.55;;0.46;;19.8
2012;;May;;110.05;;0.41;;16.6
2012;;Jun;;77.09;;0.49;;16.7
2012;;Jul;;111.1;;0.35;;15.7
2012;;Aug;;155.0;;0.3;;17.4
2012;;Sep;;147.11;;0.42;;19.2
2012;;Oct;;170.18;;0.42;;21.1
2012;;Nov;;156.06;;0.52;;19.8
2012;;Dec;;172.22;;0.49;;23.3
2013;;Jan;;135.45;;0.61;;20.7
2013;;Feb;;154.19;;0.45;;22.2
2013;;Mar;;138.5;;0.51;;20.8
2013;;Apr;;126.82;;0.45;;18.4
2013;;May;;100.39;;0.43;;17.5
2013;;Jun;;83.1;;0.45;;16.8
2013;;Jul;;98.07;;0.36;;15.0
2013;;Aug;;137.67;;0.34;;16.4
2013;;Sep;;128.18;;0.43;;18.3
2013;;Oct;;135.28;;0.56;;18.3
2013;;Nov;;151.57;;0.46;;20.3
2013;;Dec;;192.09;;0.49;;21.7
2014;;Jan;;217.48;;0.34;;23.9
2014;;Feb;;179.44;;0.36;;24.3
2014;;Mar;;158.12;;0.46;;21.8
2014;;Apr;;125.33;;0.47;;19.7
2014;;May;;107.79;;0.44;;17.8
2014;;Jun;;95.65;;0.38;;17.4
2014;;Jul;;96.69;;0.37;;16.2
2014;;Aug;;135.4;;0.34;;17.3
2014;;Sep;;140.71;;0.46;;19.8
2014;;Oct;;186.78;;0.4;;20.7
2014;;Nov;;150.99;;0.55;;20.4
2014;;Dec;;174.08;;0.43;;21.9
2015;;Jan;;198.59;;0.43;;24.0
2015;;Feb;;149.95;;0.47;;22.1
2015;;Mar;;139.13;;0.54;;21.0
2015;;Apr;;129.64;;0.48;;19.3
2015;;May;;93.24;;0.51;;17.7
2015;;Jun;;97.2;;0.36;;16.7
2015;;Jul;;94.61;;0.4;;16.9
2015;;Aug;;141.97;;0.32;;18.8
2015;;Sep;;119.44;;0.49;;20.0
2015;;Oct;;151.33;;0.51;;21.3
2015;;Nov;;132.46;;0.6;;21.3
2015;;Dec;;165.82;;0.54;;22.3
2016;;Jan;;161.24;;0.55;;21.8
2016;;Feb;;158.98;;0.44;;22.7
2016;;Mar;;149.12;;0.49;;21.7
2016;;Apr;;151.52;;0.33;;22.0
2016;;May;;97.51;;0.49;;17.2
2016;;Jun;;98.62;;0.36;;14.2
2016;;Jul;;123.21;;0.31;;16.0
2016;;Aug;;121.14;;0.42;;17.2
2016;;Sep;;129.56;;0.48;;17.7
2016;;Oct;;145.63;;0.49;;19.5
2016;;Nov;;156.73;;0.5;;19.4
2016;;Dec;;193.63;;0.42;;22.3
2017;;Jan;;159.65;;0.51;;22.4
2017;;Feb;;179.68;;0.4;;23.3
2017;;Mar;;159.66;;0.47;;20.9
2017;;Apr;;109.26;;0.52;;19.6
2017;;May;;101.39;;0.46;;18.0
2017;;Jun;;99.75;;0.36;;16.6
2017;;Jul;;122.44;;0.3;;15.2
2017;;Aug;;104.52;;0.41;;16.8
2017;;Sep;;175.81;;0.33;;20.7
2017;;Oct;;149.54;;0.5;;21.0
2017;;Nov;;164.98;;0.48;;19.9
2017;;Dec;;167.13;;0.51;;21.7
2018;;Jan;;164.13;;0.54;;21.9
2018;;Feb;;150.06;;0.52;;21.1
2018;;Mar;;160.54;;0.44;;22.5
2018;;Apr;;147.86;;0.36;;19.9
2018;;May;;127.33;;0.37;;18.0
2018;;Jun;;85.33;;0.47;;17.3
2018;;Jul;;117.69;;0.33;;17.2
2018;;Aug;;109.24;;0.42;;16.3
2018;;Sep;;137.57;;0.44;;18.5
2018;;Oct;;122.53;;0.62;;19.4
2018;;Nov;;149.14;;0.57;;20.0
2018;;Dec;;199.13;;0.43;;22.6
2019;;Jan;;202.82;;0.4;;24.4
2019;;Feb;;141.3;;0.49;;22.2
2019;;Mar;;154.02;;0.48;;21.6
2019;;Apr;;137.79;;0.4;;21.1
2019;;May;;107.69;;0.45;;19.3
2019;;Jun;;107.39;;0.35;;17.4
2019;;Jul;;124.59;;0.29;;15.6
2019;;Aug;;124.72;;0.37;;16.6
2019;;Sep;;122.94;;0.44;;19.6
2019;;Oct;;172.8;;0.42;;21.5
2019;;Nov;;149.57;;0.53;;20.9
2019;;Dec;;170.72;;0.52;;21.5
2020;;Jan;;165.81;;0.54;;22.0
2020;;Feb;;126.84;;0.62;;21.0
2020;;Mar;;176.27;;0.38;;20.4
2020;;Apr;;147.87;;0.36;;18.9
2020;;May;;124.98;;0.33;;16.3
2020;;Jun;;92.21;;0.41;;18.0
2020;;Jul;;119.02;;0.3;;17.2
2020;;Aug;;133.68;;0.31;;17.1
2020;;Sep;;151.77;;0.39;;21.5
2020;;Oct;;165.86;;0.41;;20.6
2020;;Nov;;185.15;;0.43;;20.0
2020;;Dec;;166.73;;0.54;;21.0
