data,regiao,valor,sunrise,sunset,temp ºC,feels_like ºC,pressure,humidity %,atmospheric temperature,clouds %,visibility,wind_speed m/s,wind_deg,weather,rain_precipitation,wind_gust,uvi,weather_id
2010-01-02,CENTRO,369.829,05:24:00,18:56:55,21.78,22.39,1017,91,20.25,75,8000.0,1.0,100,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}",,,,500
2010-01-02,LESTE,423.644,05:24:00,18:56:55,21.78,22.39,1017,91,20.25,75,8000.0,1.0,100,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}",,,,500
2010-01-02,NORTE,87.83,05:24:00,18:56:55,21.78,22.39,1017,91,20.25,75,8000.0,1.0,100,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}",,,,500
2010-01-02,OESTE,340.64,05:24:00,18:56:55,21.78,22.39,1017,91,20.25,75,8000.0,1.0,100,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}",,,,500
2010-01-02,SUL,294.58,05:24:00,18:56:55,21.78,22.39,1017,91,20.25,75,8000.0,1.0,100,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}",,,,500
2010-01-03,CENTRO,540.043,05:24:39,18:57:10,23.2,23.77,1018,84,20.35,75,10000.0,4.1,150,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,701
2010-01-03,LESTE,810.694,05:24:39,18:57:10,23.2,23.77,1018,84,20.35,75,10000.0,4.1,150,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,701
2010-01-03,NORTE,107.483,05:24:39,18:57:10,23.2,23.77,1018,84,20.35,75,10000.0,4.1,150,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,701
2010-01-03,OESTE,496.977,05:24:39,18:57:10,23.2,23.77,1018,84,20.35,75,10000.0,4.1,150,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,701
2010-01-03,SUL,523.907,05:24:39,18:57:10,23.2,23.77,1018,84,20.35,75,10000.0,4.1,150,"{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}",,,,701
2010-01-04,CENTRO,485.799,05:25:19,18:57:23,22.33,22.81,1017,84,19.5,75,10000.0,1.0,40,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,803
2010-01-04,LESTE,722.494,05:25:19,18:57:23,22.33,22.81,1017,84,19.5,75,10000.0,1.0,40,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,803
2010-01-04,NORTE,104.36,05:25:19,18:57:23,22.33,22.81,1017,84,19.5,75,10000.0,1.0,40,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,803
2010-01-04,OESTE,487.219,05:25:19,18:57:23,22.33,22.81,1017,84,19.5,75,10000.0,1.0,40,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,803
2010-01-04,SUL,277.501,05:25:19,18:57:23,22.33,22.81,1017,84,19.5,75,10000.0,1.0,40,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,803
2010-01-05,CENTRO,1.55,05:25:59,18:57:36,21.34,21.93,1015,92,19.99,100,2000.0,1.5,360,"{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}",,,,521
